date,company_ticker,first_seen,person_id,age,company_founded,company_industry,company_linkedin_url,company_name,company_type,company_website,country,grad_degree_degree,grad_degree_end,grad_degree_major_1,grad_degree_school_location_country,grad_degree_school_name,grad_degree_school_website,grad_degree_start,job_duration,level,next_job_company_founded,next_job_company_industry,next_job_company_linkedin_url,next_job_company_location_country,next_job_company_location_locality,next_job_company_location_name,next_job_company_location_region,next_job_company_name,next_job_company_website,next_job_level,next_job_title,next_job_title_role,next_job_title_sub_role,role,sex,sub_role,title,undergrad_degree_degree,undergrad_degree_end,undergrad_degree_major_1,undergrad_degree_school_location_country,undergrad_degree_school_name,undergrad_degree_school_website,undergrad_degree_start,years_since_grad,years_since_undergrad
2023-10,BOX,2023-11-01,kUfD6YS1u2CdZfbTUGDG9g_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,poland,,,,,,,,2,senior,1998,internet,linkedin.com/company/google,united states,mountain view,"mountain view, california, united states",california,google,google.com,senior,senior swe,,,engineering,male,,senior android engineer,,,,,,,,,
2015-10,BOX,2018-03-05,P5LBVR0pa9wKGFgl59K-KQ_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,poland,,,,,,,,0,,,,,,,,,brocade music video,,,production designer,media,,media,female,,production designer,,,film,united states,santa fe university of art and design,santafeuniversity.edu,2012,,
2017-09,BOX,2019-01-31,CuSXy0RmrsbPXoErrP-65A_0000,35,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,master of business administration,2009,,united states,harvard business school,hbs.edu,2007,3,manager,2007,medical practice,linkedin.com/company/one-medical-group,united states,san francisco,"san francisco, california, united states",california,one medical,onemedical.com,senior,senior director of engineering,engineering,,engineering,male,,"engineering lead, healthcare and life sciences",bachelors,2004,computer science,united states,university of nebraska - lincoln,unl.edu,2001,8,13
2015-05,BOX,2021-12-06,I9Qx9bCnlw3xj8QWIOtzwA_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,3,director,2009,internet,linkedin.com/company/optimizely,united states,,united states,,optimizely,optimizely.com,senior,"senior director, global solutions engineering",engineering,,sales,male,accounts,"director, sales engineering",,,,,,,,,
2010-07,BOX,2016-12-25,GBQivuSU9BjEtrch9g1jzQ_0000,,2005,internet,linkedin.com/company/box,Box,private,box.com,united states,,,,,,,,1,,1982,computer software,linkedin.com/company/symantec,united states,san jose,"san jose, california, united states",california,symantec,symantec.com,manager,"senior manager, product management",operations,product,sales,male,business_development,business development associate,bachelors,2008,international business,united states,pepperdine university,pepperdine.edu,2004,,2
2021-02,BOX,2021-08-28,LioXvRa6cdzr3jGau7Go6w_0000,67,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,3,senior,2014,information technology and services,linkedin.com/company/upsolver,united states,sunnyvale,"sunnyvale, california, united states",california,upsolver,upsolver.com,manager,senior content manager,,,media,male,writing,senior technical writer,bachelors,1984,television,,northwestern university,,1980,,37
2020-01,BOX,2024-03-02,-nJis7CXKvuwtyJHFZTBKQ_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,master of science,2013,computer science,united states,university of new mexico,unm.edu,2010,4,senior,2006,entertainment,linkedin.com/company/roblox,united states,san mateo,"san mateo, california, united states",california,roblox,roblox.com,,principal site relability engineer,engineering,,engineering,male,,senior site reliability engineer,bachelors,2010,mathematics,,arizona state university,,2006,7,10
2023-07,BOX,2023-10-09,cBhvkd2J0YA5-oZI-ak1Ig_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united kingdom,,,,,,,,0,,,,,,,,,platform,,,sales associate,sales,accounts,,female,,retail assistant,,,communications,united kingdom,university of the arts london,arts.ac.uk,2023,,
2018-06,BOX,2018-10-11,G7NcW7noiG3MKHen9H1kNw_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,organizational leadership,united states,gonzaga university,gonzaga.edu,2016,1,director,1983,internet,linkedin.com/company/ancestry.com,united states,lehi,"lehi, utah, united states",utah,ancestry,ancestry.com,director,"director, people operations",human_resources,employee_development,human_resources,female,employee_development,"director, people operations",bachelors,2002,accounting,united states,kelley school of business - iu,kelley.iu.edu,1997,,16
2020-01,BOX,2020-03-11,BCj5tx9qffjnt-plCJCyXw_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,canada,,,,,,,,4,senior,2009,internet,linkedin.com/company/appdirect,united states,san francisco,"san francisco, california, united states",california,appdirect,appdirect.com,senior,senior sales engineer,sales,accounts,sales,male,accounts,senior sales engineer,,,,,,,,,
2018-08,BOX,2021-12-10,d2fRdnRl50qtm6T13s17uQ_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,australia,,,,,,,,1,director,2014,computer networking,linkedin.com/company/pulse-secure,united states,san jose,"san jose, california, united states",california,pulse secure,pulsesecure.net,manager,regional channel manager,,,sales,male,accounts,director channel sales,,,,,,,,,
